排名1 :肖申克的救赎
评分 9.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg

排名2 :霸王别姬
评分 9.5
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg

排名3 :这个杀手不太冷
评分 9.4
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg

排名4 :阿甘正传
评分 9.4
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p510876377.jpg

排名5 :美丽人生
评分 9.5
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg

排名6 :千与千寻
评分 9.2
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910830216.jpg

排名7 :辛德勒的名单
评分 9.4
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg

排名8 :泰坦尼克号
评分 9.2
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg

排名9 :盗梦空间
评分 9.2
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg

排名10 :机器人总动员
评分 9.3
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p449665982.jpg

排名11 :海上钢琴师
评分 9.2
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg

排名12 :三傻大闹宝莱坞
评分 9.1
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg

排名13 :忠犬八公的故事
评分 9.2
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg

排名14 :放牛班的春天
评分 9.2
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg

排名15 :大话西游之大圣娶亲
评分 9.2
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg

排名16 :教父
评分 9.2
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2190556185.jpg

排名17 :龙猫
评分 9.1
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456668316.jpg

排名18 :楚门的世界
评分 9.1
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg

排名19 :乱世佳人
评分 9.2
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg

排名20 :天堂电影院
评分 9.1
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg

排名21 :触不可及
评分 9.1
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg

排名22 :当幸福来敲门
评分 8.9
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg

排名23 :熔炉
评分 9.2
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg

排名24 :无间道
评分 9.0
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg

排名25 :搏击俱乐部
评分 9.0
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg

排名26 :十二怒汉
评分 9.4
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg

排名27 :星际穿越
评分 9.1
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg

排名28 :怦然心动
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg

排名29 :指环王3：王者无敌
评分 9.1
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg

排名30 :少年派的奇幻漂流
评分 9.0
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg

排名31 :天空之城
评分 9.0
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg

排名32 :鬼子来了
评分 9.2
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg

排名33 :蝙蝠侠：黑暗骑士
评分 9.0
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg

排名34 :罗马假日
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg

排名35 :活着
评分 9.1
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173575484.jpg

排名36 :大话西游之月光宝盒
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1280323646.jpg

排名37 :两杆大烟枪
评分 9.0
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg

排名38 :飞屋环游记
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg

排名39 :窃听风暴
评分 9.1
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg

排名40 :飞越疯人院
评分 9.0
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg

排名41 :海豚湾
评分 9.3
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455222172.jpg

排名42 :闻香识女人
评分 8.9
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p925123037.jpg

排名43 :V字仇杀队
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg

排名44 :哈尔的移动城堡
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg

排名45 :控方证人
评分 9.6
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg

排名46 :教父2
评分 9.1
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg

排名47 :美丽心灵
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg

排名48 :指环王2：双塔奇兵
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg

排名49 :死亡诗社
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824340.jpg

排名50 :指环王1：魔戒再现
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg

排名51 :情书
评分 8.8
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg

排名52 :辩护人
评分 9.1
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg

排名53 :天使爱美丽
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p803896904.jpg

排名54 :美国往事
评分 9.1
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg

排名55 :饮食男女
评分 9.0
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg

排名56 :钢琴家
评分 9.0
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg

排名57 :狮子王
评分 8.9
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg

排名58 :七宗罪
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg

排名59 :疯狂动物城
评分 9.2
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg

排名60 :被嫌弃的松子的一生
评分 8.9
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453723669.jpg

排名61 :致命魔术
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg

排名62 :小鞋子
评分 9.2
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173580603.jpg

排名63 :勇敢的心
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg

排名64 :剪刀手爱德华
评分 8.7
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg

排名65 :音乐之声
评分 8.9
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg

排名66 :低俗小说
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg

排名67 :素媛
评分 9.1
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg

排名68 :本杰明·巴顿奇事
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg

排名69 :黑客帝国
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910908765.jpg

排名70 :入殓师
评分 8.8
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg

排名71 :沉默的羔羊
评分 8.7
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg

排名72 :拯救大兵瑞恩
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg

排名73 :西西里的美丽传说
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg

排名74 :玛丽和马克思
评分 8.9
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1820615077.jpg

排名75 :蝴蝶效应
评分 8.7
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg

排名76 :春光乍泄
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg

排名77 :让子弹飞
评分 8.7
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg

排名78 :心灵捕手
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg

排名79 :大闹天宫
评分 9.2
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg

排名80 :幽灵公主
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg

排名81 :阳光灿烂的日子
评分 8.7
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p967457079.jpg

排名82 :第六感
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg

排名83 :重庆森林
评分 8.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg

排名84 :大鱼
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg

排名85 :射雕英雄传之东成西就
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1993903133.jpg

排名86 :禁闭岛
评分 8.6
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg

排名87 :甜蜜蜜
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg

排名88 :阳光姐妹淘
评分 8.8
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg

排名89 :上帝之城
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg

排名90 :一一
评分 8.9
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2119675128.jpg

排名91 :致命ID
评分 8.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453720880.jpg

排名92 :狩猎
评分 9.0
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg

排名93 :告白
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg

排名94 :末代皇帝
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452088641.jpg

排名95 :布达佩斯大饭店
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg

排名96 :加勒比海盗
评分 8.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg

排名97 :断背山
评分 8.6
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513535588.jpg

排名98 :爱在黎明破晓前
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1486234122.jpg

排名99 :摩登时代
评分 9.2
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173707976.jpg

排名100 :阿凡达
评分 8.6
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg

排名101 :猫鼠游戏
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg

排名102 :哈利·波特与魔法石
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg

排名103 :风之谷
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg

排名104 :爱在日落黄昏时
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910924055.jpg

排名105 :看不见的客人
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg

排名106 :穿条纹睡衣的男孩
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg

排名107 :侧耳倾听
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg

排名108 :萤火虫之墓
评分 8.7
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1157334208.jpg

排名109 :消失的爱人
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg

排名110 :超脱
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg

排名111 :驯龙高手
评分 8.7
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450042258.jpg

排名112 :菊次郎的夏天
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p751835224.jpg

排名113 :倩女幽魂
评分 8.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg

排名114 :恐怖直播
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg

排名115 :幸福终点站
评分 8.6
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg

排名116 :海洋
评分 9.0
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p497010372.jpg

排名117 :七武士
评分 9.2
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p647099823.jpg

排名118 :红辣椒
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p672363704.jpg

排名119 :岁月神偷
评分 8.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg

排名120 :神偷奶爸
评分 8.5
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg

排名121 :借东西的小人阿莉埃蒂
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg

排名122 :电锯惊魂
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2163771304.jpg

排名123 :谍影重重3
评分 8.7
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg

排名124 :杀人回忆
评分 8.6
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480225538.jpg

排名125 :真爱至上
评分 8.5
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg

排名126 :雨人
评分 8.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p942376281.jpg

排名127 :贫民窟的百万富翁
评分 8.5
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p470476887.jpg

排名128 :燃情岁月
评分 8.7
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg

排名129 :东邪西毒
评分 8.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg

排名130 :记忆碎片
评分 8.5
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg

排名131 :虎口脱险
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg

排名132 :喜宴
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173713676.jpg

排名133 :疯狂原始人
评分 8.7
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg

排名134 :怪兽电力公司
评分 8.6
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1805127697.jpg

排名135 :小森林 夏秋篇
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2221319641.jpg

排名136 :喜剧之王
评分 8.5
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1043597424.jpg

排名137 :卢旺达饭店
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2159368352.jpg

排名138 :黑天鹅
评分 8.5
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p719282906.jpg

排名139 :猜火车
评分 8.5
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513567548.jpg

排名140 :穿越时空的少女
评分 8.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.jpg

排名141 :魂断蓝桥
评分 8.8
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg

排名142 :恋恋笔记本
评分 8.5
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg

排名143 :雨中曲
评分 8.9
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg

排名144 :傲慢与偏见
评分 8.4
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452005185.jpg

排名145 :教父3
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg

排名146 :完美的世界
评分 9.0
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792403691.jpg

排名147 :纵横四海
评分 8.7
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2459107299.jpg

排名148 :英雄本色
评分 8.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2157672975.jpg

排名149 :萤火之森
评分 8.7
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1272904657.jpg

排名150 :玩具总动员3
评分 8.8
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg

排名151 :哈利·波特与死亡圣器(下)
评分 8.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg

排名152 :花样年华
评分 8.5
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg

排名153 :7号房的礼物
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg

排名154 :二十二
评分 8.8
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg

排名155 :人工智能
评分 8.6
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg

排名156 :我是山姆
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg

排名157 :海边的曼彻斯特
评分 8.6
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2496940327.jpg

排名158 :浪潮
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1344888983.jpg

排名159 :荒蛮故事
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192834364.jpg

排名160 :香水
评分 8.4
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p470006658.jpg

排名161 :冰川时代
评分 8.4
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg

排名162 :朗读者
评分 8.5
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg

排名163 :追随
评分 8.9
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1150103377.jpg

排名164 :撞车
评分 8.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2075132390.jpg

排名165 :小森林 冬春篇
评分 8.9
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg

排名166 :时空恋旅人
评分 8.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg

排名167 :罗生门
评分 8.7
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1864872647.jpg

排名168 :唐伯虎点秋香
评分 8.4
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1946455272.jpg

排名169 :一次别离
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189835254.jpg

排名170 :心迷宫
评分 8.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2275298525.jpg

排名171 :超能陆战队
评分 8.6
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg

排名172 :蝙蝠侠：黑暗骑士崛起
评分 8.5
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg

排名173 :战争之王
评分 8.5
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453719066.jpg

排名174 :可可西里
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg

排名175 :梦之安魂曲
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p884936202.jpg

排名176 :地球上的星星
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.jpg

排名177 :碧海蓝天
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455722535.jpg

排名178 :未麻的部屋
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg

排名179 :爆裂鼓手
评分 8.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg

排名180 :恐怖游轮
评分 8.3
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg

排名181 :秒速5厘米
评分 8.3
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p982896012.jpg

排名182 :谍影重重2
评分 8.5
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg

排名183 :阿飞正传
评分 8.5
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p924558512.jpg

排名184 :谍影重重
评分 8.5
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg

排名185 :达拉斯买家俱乐部
评分 8.6
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg

排名186 :牯岭街少年杀人事件
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg

排名187 :海盗电台
评分 8.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p769608791.jpg

排名188 :惊魂记
评分 8.8
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg

排名189 :魔女宅急便
评分 8.4
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg

排名190 :被解救的姜戈
评分 8.5
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1959232369.jpg

排名191 :再次出发之纽约遇见你
评分 8.5
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg

排名192 :东京物语
评分 9.2
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910832390.jpg

排名193 :绿里奇迹
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg

排名194 :勇闯夺命岛
评分 8.5
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p636048104.jpg

排名195 :末路狂花
评分 8.7
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p794583044.jpg

排名196 :迁徙的鸟
评分 9.1
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2238274168.jpg

排名197 :青蛇
评分 8.4
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p584021784.jpg

排名198 :荒野生存
评分 8.6
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p465687407.jpg

排名199 :哪吒闹海
评分 8.8
图片地址: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2163636038.jpg

排名200 :卡萨布兰卡
评分 8.6
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244791866.jpg

排名201 :终结者2：审判日
评分 8.5
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg

排名202 :忠犬八公物语
评分 9.0
图片地址: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2297934945.jpg

排名203 :这个男人来自地球
评分 8.5
